channel,hour,reason_codes,n
pm2_5,11,data_loss,6
pm2_5,11,gradual_drift,11
pm2_5,11,out_of_range,367
pm2_5,11,single_spike,262
pm2_5,12,data_loss,18
pm2_5,12,gradual_drift,8
pm2_5,12,out_of_range,273
pm2_5,12,single_spike,260
pm2_5,13,data_loss,3
pm2_5,13,gradual_drift,15
pm2_5,13,out_of_range,219
pm2_5,13,single_spike,279
pm2_5,14,gradual_drift,3
pm2_5,14,out_of_range,133
pm2_5,14,single_spike,266
pm2_5,15,data_loss,7
pm2_5,15,gradual_drift,10
pm2_5,15,out_of_range,133
pm2_5,15,single_spike,252
pm2_5,16,data_loss,10
pm2_5,16,gradual_drift,27
pm2_5,16,out_of_range,122
pm2_5,16,single_spike,293
pm2_5,17,gradual_drift,8
pm2_5,17,out_of_range,132
pm2_5,17,single_spike,266
pm2_5,18,gradual_drift,32
pm2_5,18,out_of_range,281
pm2_5,18,single_spike,298
pm2_5,19,data_loss,8
pm2_5,19,gradual_drift,10
pm2_5,19,out_of_range,487
pm2_5,19,single_spike,262
pm2_5,20,data_loss,6
pm2_5,20,gradual_drift,105
pm2_5,20,out_of_range,524
pm2_5,20,single_spike,293
pm2_5,21,data_loss,9
pm2_5,21,gradual_drift,41
pm2_5,21,out_of_range,269
pm2_5,21,single_spike,266
pm2_5,22,gradual_drift,2
pm2_5,22,out_of_range,240
pm2_5,22,single_spike,205
pm2_5,23,data_loss,32
pm2_5,23,out_of_range,260
pm2_5,23,single_spike,226
temperature,0,data_loss,120
temperature,0,out_of_range,241
temperature,0,single_spike,1265
temperature,0,stuck_value,1221
temperature,1,data_loss,162
temperature,1,out_of_range,325
temperature,1,single_spike,1261
temperature,1,stuck_value,1348
temperature,2,data_loss,162
temperature,2,out_of_range,262
temperature,2,single_spike,1247
temperature,2,stuck_value,1442
temperature,3,data_loss,4
temperature,3,out_of_range,241
temperature,3,single_spike,1192
temperature,3,stuck_value,1499
temperature,4,out_of_range,297
temperature,4,single_spike,1100
temperature,4,stuck_value,1317
temperature,5,out_of_range,262
temperature,5,single_spike,906
temperature,5,stuck_value,1227
temperature,6,out_of_range,243
temperature,6,single_spike,1033
temperature,6,stuck_value,1453
temperature,7,data_loss,25
temperature,7,out_of_range,172
temperature,7,single_spike,1082
temperature,7,stuck_value,1314
temperature,8,data_loss,22
temperature,8,out_of_range,159
temperature,8,single_spike,960
temperature,8,stuck_value,1177
temperature,9,data_loss,9
temperature,9,out_of_range,229
temperature,9,single_spike,991
temperature,9,stuck_value,1097
temperature,10,out_of_range,296
temperature,10,single_spike,945
temperature,10,stuck_value,1250
temperature,11,data_loss,6
temperature,11,out_of_range,355
temperature,11,single_spike,887
temperature,11,stuck_value,1049
temperature,12,data_loss,18
temperature,12,out_of_range,272
temperature,12,single_spike,776
temperature,12,stuck_value,611
temperature,13,data_loss,3
temperature,13,out_of_range,234
temperature,13,single_spike,605
temperature,13,stuck_value,300
temperature,14,out_of_range,138
temperature,14,single_spike,588
temperature,14,stuck_value,391
temperature,15,data_loss,7
temperature,15,out_of_range,15
temperature,15,single_spike,557
temperature,15,stuck_value,474
temperature,16,data_loss,10
temperature,16,out_of_range,3
temperature,16,single_spike,846
temperature,16,stuck_value,698
