pair,window,feature_set,method,n_test,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,fault_detection_recall,fault_recall_ci_lo,fault_recall_ci_hi,false_event_rate,event_level_recall,event_recall_ci_lo,event_recall_ci_hi,n_true_instances_test,gradual_shift_recall,n_gradual_shift_instances,gradual_shift_median_latency_s,gradual_shift_n_missed
temperature,5,d_cross_only,random_forest,70527,0.5810625933953195,0.5464558385417445,0.6150021376032108,0.5611824469974385,0.5399453335515567,0.5844105828666719,0.13248522230789,0.09421303537525297,0.1818726739140039,0.028214731585518103,0.45,0.38636363636363635,0.5092045454545453,220,0.20754716981132076,53,900.002438,42
temperature,10,n/a,baseline_single_channel_rule,69684,0.4832996193397334,0.47755811244634444,0.48961232228494495,0.49930364423249013,0.4970277918955702,0.5019135114615575,0.021190847633905358,0.016049375431603424,0.026252802921693515,0.02009791290904406,0.5272727272727272,0.4636363636363636,0.5909090909090909,220,0.5471698113207547,53,990.002689,24
temperature,10,n/a,baseline_one_out_of_two_comparator,69684,0.5046823135653428,0.48653621307477135,0.5201044022593887,0.507046591387465,0.4945853777372938,0.5193954709964447,0.07163286531461259,0.04030720758820069,0.1070100406636706,0.11466116980159753,0.20454545454545456,0.15454545454545454,0.2590909090909091,220,0.16981132075471697,53,390.001056,44
temperature,10,a_single_only,logistic_regression,69684,0.4706874287884542,0.46667466967320215,0.474385380250357,0.4997902955220028,0.4994693067338708,0.4999920451763485,0.0,0.0,0.0,0.0002576655501159495,0.004545454545454545,0.0,0.013636363636363636,220,0.0,53,,53
temperature,10,a_single_only,decision_tree,69684,0.6684549916776081,0.6270141613584855,0.7046286895464506,0.6205543179141025,0.5899381902790954,0.6492128872150643,0.2451898075923037,0.19757545717125044,0.3056048376436331,0.012883277505797475,0.5863636363636363,0.5227272727272727,0.6545454545454545,220,0.6792452830188679,53,90.0002415,17
temperature,10,a_single_only,random_forest,69684,0.6719757079232472,0.6338499096123458,0.7084558697138812,0.6283928186395749,0.5983198922761772,0.6589418747825548,0.26898075923036924,0.21979336792384416,0.33165364976669737,0.017263591857768615,0.5409090909090909,0.4771590909090909,0.6045454545454545,220,0.6415094339622641,53,30.000085499999997,19
temperature,10,b_single_plus_cross,logistic_regression,69684,0.5183760175709877,0.49222635295711054,0.5474315381656616,0.5236890311849408,0.5096442376342551,0.5406300796409408,0.05057202288091524,0.018120728507764028,0.08544078140458661,0.0054109765524349394,0.12272727272727273,0.08181818181818182,0.16818181818181818,220,0.03773584905660377,53,1140.003141,51
temperature,10,b_single_plus_cross,decision_tree,69684,0.6561138354794118,0.6183261169881853,0.695589592420063,0.6150136326784856,0.5870437206884783,0.646556009014376,0.24089963598543943,0.19656244635420528,0.30090878546628635,0.03761917031692863,0.5909090909090909,0.5272727272727272,0.6545454545454545,220,0.6415094339622641,53,90.0002415,19
temperature,10,b_single_plus_cross,random_forest,69684,0.6307011364355795,0.5927071745010946,0.6644506686565566,0.5965102386518999,0.5690344995700835,0.6237497235989856,0.20553822152886114,0.15887590768503726,0.26346457583347427,0.018551919608348365,0.5363636363636364,0.4681818181818182,0.6001136363636362,220,0.5849056603773585,53,120.000324,22
temperature,10,c_plus_ah,logistic_regression,69684,0.5273640061866363,0.5003926026500689,0.5562079434245129,0.528416718356694,0.5136636481827087,0.5450436739695557,0.06188247529901196,0.02799667295005379,0.09914935576637864,0.011079618654985829,0.15,0.10454545454545454,0.19545454545454546,220,0.03773584905660377,53,1080.0029745,51
