sample_id,method,selection_reason,boundary_channel,original_class,n_samples,n_trials_total,n_class_changes,class_change_rate,class_change_rate_ci95_low,class_change_rate_ci95_high,mean_abs_index_change,median_abs_index_change,p95_abs_index_change,max_abs_index_change,n_comparable_for_direction,n_moved_better,n_moved_worse,prob_moved_better,prob_moved_worse,prob_moved_better_ci95_low,prob_moved_better_ci95_high,prob_moved_worse_ci95_low,prob_moved_worse_ci95_high
boundary_humidity_2026-07-28T10:15:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T10:15:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T10:15:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T10:15:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T10:20:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T10:20:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.23857245225177845,0.0,1.5992032131569913,4.246183511971196,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T10:20:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.23857245225177845,0.0,1.5992032131569913,4.246183511971196,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T10:20:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.23857245225177845,0.0,1.5992032131569913,4.246183511971196,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T11:10:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Acceptable,1,30,10,0.3333333333333333,0.19230295526846194,0.5122027418616973,8.333333333333334,0.0,25.0,25.0,30,10,0,0.3333333333333333,0.0,0.19230295526846194,0.5122027418616973,0.0,0.113517091390478
boundary_humidity_2026-07-28T11:10:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Acceptable,1,30,10,0.3333333333333333,0.19230295526846194,0.5122027418616973,6.934004924655098,2.2307156727640347,20.627054977148248,21.680594380897748,30,10,0,0.3333333333333333,0.0,0.19230295526846194,0.5122027418616973,0.0,0.113517091390478
