sample_id,computed_ts,stratum,reference_completeness_status,reference_index_class,reference_index_value,value,completeness_status,index_value,index_class
outdoor_context_fresh_2026-07-30T10:15:00+03:00,2026-07-30 10:15:00+03:00,outdoor_context_fresh,PARTIAL,Acceptable,37.5,5.0,PARTIAL,62.50000000000001,Degraded
outdoor_context_fresh_2026-07-31T08:55:00+03:00,2026-07-31 08:55:00+03:00,outdoor_context_fresh,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
outdoor_context_fresh_2026-07-31T19:40:00+03:00,2026-07-31 19:40:00+03:00,outdoor_context_fresh,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
outdoor_context_stale_2026-07-23T23:00:00+03:00,2026-07-23 23:00:00+03:00,outdoor_context_stale,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
outdoor_context_stale_2026-07-24T08:35:00+03:00,2026-07-24 08:35:00+03:00,outdoor_context_stale,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
outdoor_context_stale_2026-07-25T06:50:00+03:00,2026-07-25 06:50:00+03:00,outdoor_context_stale,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
outdoor_context_stale_2026-08-04T03:20:00+03:00,2026-08-04 03:20:00+03:00,outdoor_context_stale,PARTIAL,Acceptable,37.5,5.0,PARTIAL,37.5,Acceptable
outdoor_context_stale_2026-08-04T06:45:00+03:00,2026-08-04 06:45:00+03:00,outdoor_context_stale,PARTIAL,Acceptable,32.70205814377695,5.0,PARTIAL,32.59904128970122,Acceptable
completeness_PARTIAL_2026-06-29T13:55:00+03:00,2026-06-29 13:55:00+03:00,completeness_PARTIAL,PARTIAL,Acceptable,32.8203325710598,15.0,PARTIAL,32.8203325710598,Acceptable
completeness_PARTIAL_2026-07-03T01:35:00+03:00,2026-07-03 01:35:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,15.0,PARTIAL,12.444029850746269,Favourable
