sample_id,method,selection_reason,boundary_channel,original_class,n_samples,n_trials_total,n_class_changes,class_change_rate,class_change_rate_ci95_low,class_change_rate_ci95_high,mean_abs_index_change,median_abs_index_change,p95_abs_index_change,max_abs_index_change,n_comparable_for_direction,n_moved_better,n_moved_worse,prob_moved_better,prob_moved_worse,prob_moved_better_ci95_low,prob_moved_better_ci95_high,prob_moved_worse_ci95_low,prob_moved_worse_ci95_high
random_2026-07-16T08:20:00+03:00,CRISP-MAX,random_comparison,,Degraded,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
random_2026-07-16T08:20:00+03:00,PROPOSED-HFIS,random_comparison,,Degraded,1,30,0,0.0,0.0,0.113517091390478,7.342274936187703e-15,7.105427357601002e-15,2.1316282072803006e-14,2.842170943040401e-14,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
random_2026-07-16T08:20:00+03:00,WEIGHTED-MEAN,random_comparison,,Acceptable,1,30,0,0.0,0.0,0.113517091390478,2.73597147685607,2.9431818212291745,5.408808228522076,5.408808228522076,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
random_2026-07-18T08:55:00+03:00,CRISP-MAX,random_comparison,,Degraded,1,30,15,0.5,0.33153851227173764,0.6684614877282624,9.906972406829418,8.54761252760855,20.76510329977144,20.76510329977144,30,0,15,0.0,0.5,0.0,0.113517091390478,0.33153851227173764,0.6684614877282624
random_2026-07-18T08:55:00+03:00,PROPOSED-HFIS,random_comparison,,Degraded,1,30,15,0.5,0.33153851227173764,0.6684614877282624,9.900430004384036,8.54761252760855,20.761421349875985,20.76510329977144,30,0,15,0.0,0.5,0.0,0.113517091390478,0.33153851227173764,0.6684614877282624
random_2026-07-18T08:55:00+03:00,WEIGHTED-MEAN,random_comparison,,Acceptable,1,30,0,0.0,0.0,0.113517091390478,3.495077006674521,2.8492041758695166,7.840976142793922,8.791521469875352,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
random_2026-07-19T09:50:00+03:00,CRISP-MAX,random_comparison,,Degraded,1,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,6.156212007570318,2.9412821729326595,20.59680111267232,23.03633218110572,30,0,7,0.0,0.23333333333333334,0.0,0.113517091390478,0.11792239210501232,0.40928672330324267
random_2026-07-19T09:50:00+03:00,PROPOSED-HFIS,random_comparison,,Degraded,1,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,6.22115923827384,3.0253469332005807,20.59680111267232,23.03633218110572,30,0,7,0.0,0.23333333333333334,0.0,0.113517091390478,0.11792239210501232,0.40928672330324267
random_2026-07-19T09:50:00+03:00,WEIGHTED-MEAN,random_comparison,,Acceptable,1,30,0,0.0,0.0,0.113517091390478,3.8301937098198446,3.64562119203082,8.019407085635544,10.95657734520766,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
random_2026-07-20T06:55:00+03:00,CRISP-MAX,random_comparison,,Acceptable,1,30,0,0.0,0.0,0.113517091390478,2.049298767395685,0.0,9.002103099765673,9.795057831486623,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
random_2026-07-20T06:55:00+03:00,PROPOSED-HFIS,random_comparison,,Acceptable,1,30,0,0.0,0.0,0.113517091390478,2.049298767395685,0.0,9.002103099765673,9.795057831486623,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
random_2026-07-20T06:55:00+03:00,WEIGHTED-MEAN,random_comparison,,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.683099589131895,0.0,3.000701033255224,3.26501927716221,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
random_2026-07-21T02:00:00+03:00,CRISP-MAX,random_comparison,,Acceptable,1,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,8.539672455824876,7.60877322538834,20.159145970137317,23.106321230309625,30,12,1,0.4,0.03333333333333333,0.24590394326083403,0.5767994750172616,0.0059084379948573795,0.16670751396958874
random_2026-07-21T02:00:00+03:00,PROPOSED-HFIS,random_comparison,,Acceptable,1,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,8.470768031527218,7.4107392276750765,20.159145970137317,23.106321230309625,30,12,1,0.4,0.03333333333333333,0.24590394326083403,0.5767994750172616,0.0059084379948573795,0.16670751396958874
random_2026-07-21T02:00:00+03:00,WEIGHTED-MEAN,random_comparison,,Favorable,1,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,4.243198223827766,3.7161305895347914,12.487995011270845,13.031779232345198,30,0,4,0.0,0.13333333333333333,0.0,0.113517091390478,0.05309569424218104,0.2968168394441695
random_2026-07-23T12:35:00+03:00,CRISP-MAX,random_comparison,,Favorable,1,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,6.935650070632007,3.5878395744271785,20.95932649359408,21.468130574826553,30,0,7,0.0,0.23333333333333334,0.0,0.113517091390478,0.11792239210501232,0.40928672330324267
random_2026-07-23T12:35:00+03:00,PROPOSED-HFIS,random_comparison,,Favorable,1,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,6.935650070632007,3.5878395744271785,20.95932649359408,21.468130574826553,30,0,7,0.0,0.23333333333333334,0.0,0.113517091390478,0.11792239210501232,0.40928672330324267
random_2026-07-23T12:35:00+03:00,WEIGHTED-MEAN,random_comparison,,Favorable,1,30,0,0.0,0.0,0.113517091390478,2.311883356877336,1.1959465248090595,6.98644216453136,7.156043524942184,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
random_2026-07-24T15:00:00+03:00,CRISP-MAX,random_comparison,,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
random_2026-07-24T15:00:00+03:00,PROPOSED-HFIS,random_comparison,,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
random_2026-07-24T15:00:00+03:00,WEIGHTED-MEAN,random_comparison,,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
