masking_case,dataset_split,strategy,true_index_class,predicted_index_class,count
component:V,validation,drop,Favourable,Critical,0
component:V,validation,drop,Acceptable,Favourable,0
component:V,validation,drop,Acceptable,Acceptable,0
component:V,validation,drop,Acceptable,Degraded,0
component:V,validation,drop,Acceptable,Critical,0
component:V,validation,drop,Degraded,Favourable,0
component:V,validation,drop,Degraded,Acceptable,0
component:V,validation,drop,Degraded,Degraded,0
component:V,validation,drop,Degraded,Critical,0
component:V,validation,drop,Critical,Favourable,0
component:V,validation,drop,Critical,Acceptable,0
component:V,validation,drop,Critical,Degraded,0
component:V,validation,drop,Critical,Critical,0
component:V,validation,favourable_value,Favourable,Favourable,38
component:V,validation,favourable_value,Favourable,Acceptable,0
component:V,validation,favourable_value,Favourable,Degraded,0
component:V,validation,favourable_value,Favourable,Critical,0
component:V,validation,favourable_value,Acceptable,Favourable,8
component:V,validation,favourable_value,Acceptable,Acceptable,26
component:V,validation,favourable_value,Acceptable,Degraded,0
component:V,validation,favourable_value,Acceptable,Critical,0
component:V,validation,favourable_value,Degraded,Favourable,0
component:V,validation,favourable_value,Degraded,Acceptable,0
component:V,validation,favourable_value,Degraded,Degraded,68
component:V,validation,favourable_value,Degraded,Critical,0
component:V,validation,favourable_value,Critical,Favourable,0
component:V,validation,favourable_value,Critical,Acceptable,0
component:V,validation,favourable_value,Critical,Degraded,0
component:V,validation,favourable_value,Critical,Critical,220
component:V,validation,locf,Favourable,Favourable,38
component:V,validation,locf,Favourable,Acceptable,0
component:V,validation,locf,Favourable,Degraded,0
component:V,validation,locf,Favourable,Critical,0
component:V,validation,locf,Acceptable,Favourable,0
component:V,validation,locf,Acceptable,Acceptable,34
component:V,validation,locf,Acceptable,Degraded,0
component:V,validation,locf,Acceptable,Critical,0
component:V,validation,locf,Degraded,Favourable,0
component:V,validation,locf,Degraded,Acceptable,0
component:V,validation,locf,Degraded,Degraded,68
component:V,validation,locf,Degraded,Critical,0
component:V,validation,locf,Critical,Favourable,0
component:V,validation,locf,Critical,Acceptable,0
component:V,validation,locf,Critical,Degraded,0
component:V,validation,locf,Critical,Critical,220
component:V,validation,mean_imputation,Favourable,Favourable,38
component:V,validation,mean_imputation,Favourable,Acceptable,0
component:V,validation,mean_imputation,Favourable,Degraded,0
component:V,validation,mean_imputation,Favourable,Critical,0
component:V,validation,mean_imputation,Acceptable,Favourable,8
component:V,validation,mean_imputation,Acceptable,Acceptable,26
component:V,validation,mean_imputation,Acceptable,Degraded,0
component:V,validation,mean_imputation,Acceptable,Critical,0
component:V,validation,mean_imputation,Degraded,Favourable,0
component:V,validation,mean_imputation,Degraded,Acceptable,0
component:V,validation,mean_imputation,Degraded,Degraded,68
component:V,validation,mean_imputation,Degraded,Critical,0
component:V,validation,mean_imputation,Critical,Favourable,0
component:V,validation,mean_imputation,Critical,Acceptable,0
component:V,validation,mean_imputation,Critical,Degraded,0
component:V,validation,mean_imputation,Critical,Critical,220
component:V,validation,proposed,Favourable,Favourable,38
component:V,validation,proposed,Favourable,Acceptable,0
component:V,validation,proposed,Favourable,Degraded,0
component:V,validation,proposed,Favourable,Critical,0
component:V,validation,proposed,Acceptable,Favourable,8
component:V,validation,proposed,Acceptable,Acceptable,26
component:V,validation,proposed,Acceptable,Degraded,0
component:V,validation,proposed,Acceptable,Critical,0
component:V,validation,proposed,Degraded,Favourable,0
component:V,validation,proposed,Degraded,Acceptable,0
component:V,validation,proposed,Degraded,Degraded,68
component:V,validation,proposed,Degraded,Critical,0
component:V,validation,proposed,Critical,Favourable,0
component:V,validation,proposed,Critical,Acceptable,0
component:V,validation,proposed,Critical,Degraded,0
component:V,validation,proposed,Critical,Critical,220
direct_input:co2,calibration,drop,Favourable,Favourable,0
direct_input:co2,calibration,drop,Favourable,Acceptable,0
direct_input:co2,calibration,drop,Favourable,Degraded,0
direct_input:co2,calibration,drop,Favourable,Critical,0
direct_input:co2,calibration,drop,Acceptable,Favourable,0
direct_input:co2,calibration,drop,Acceptable,Acceptable,0
direct_input:co2,calibration,drop,Acceptable,Degraded,0
direct_input:co2,calibration,drop,Acceptable,Critical,0
direct_input:co2,calibration,drop,Degraded,Favourable,0
direct_input:co2,calibration,drop,Degraded,Acceptable,0
direct_input:co2,calibration,drop,Degraded,Degraded,0
direct_input:co2,calibration,drop,Degraded,Critical,0
direct_input:co2,calibration,drop,Critical,Favourable,0
direct_input:co2,calibration,drop,Critical,Acceptable,0
direct_input:co2,calibration,drop,Critical,Degraded,0
direct_input:co2,calibration,drop,Critical,Critical,0
direct_input:co2,calibration,favourable_value,Favourable,Favourable,260
direct_input:co2,calibration,favourable_value,Favourable,Acceptable,0
direct_input:co2,calibration,favourable_value,Favourable,Degraded,0
direct_input:co2,calibration,favourable_value,Favourable,Critical,0
direct_input:co2,calibration,favourable_value,Acceptable,Favourable,9
direct_input:co2,calibration,favourable_value,Acceptable,Acceptable,95
direct_input:co2,calibration,favourable_value,Acceptable,Degraded,0
direct_input:co2,calibration,favourable_value,Acceptable,Critical,0
direct_input:co2,calibration,favourable_value,Degraded,Favourable,4
direct_input:co2,calibration,favourable_value,Degraded,Acceptable,2
direct_input:co2,calibration,favourable_value,Degraded,Degraded,167
direct_input:co2,calibration,favourable_value,Degraded,Critical,0
direct_input:co2,calibration,favourable_value,Critical,Favourable,0
direct_input:co2,calibration,favourable_value,Critical,Acceptable,0
direct_input:co2,calibration,favourable_value,Critical,Degraded,0
direct_input:co2,calibration,favourable_value,Critical,Critical,303
direct_input:co2,calibration,locf,Favourable,Favourable,259
direct_input:co2,calibration,locf,Favourable,Acceptable,1
direct_input:co2,calibration,locf,Favourable,Degraded,0
direct_input:co2,calibration,locf,Favourable,Critical,0
direct_input:co2,calibration,locf,Acceptable,Favourable,0
direct_input:co2,calibration,locf,Acceptable,Acceptable,104
direct_input:co2,calibration,locf,Acceptable,Degraded,0
direct_input:co2,calibration,locf,Acceptable,Critical,0
direct_input:co2,calibration,locf,Degraded,Favourable,0
direct_input:co2,calibration,locf,Degraded,Acceptable,1
direct_input:co2,calibration,locf,Degraded,Degraded,172
direct_input:co2,calibration,locf,Degraded,Critical,0
direct_input:co2,calibration,locf,Critical,Favourable,0
direct_input:co2,calibration,locf,Critical,Acceptable,0
direct_input:co2,calibration,locf,Critical,Degraded,0
direct_input:co2,calibration,locf,Critical,Critical,303
direct_input:co2,calibration,mean_imputation,Favourable,Favourable,260
direct_input:co2,calibration,mean_imputation,Favourable,Acceptable,0
direct_input:co2,calibration,mean_imputation,Favourable,Degraded,0
direct_input:co2,calibration,mean_imputation,Favourable,Critical,0
direct_input:co2,calibration,mean_imputation,Acceptable,Favourable,9
direct_input:co2,calibration,mean_imputation,Acceptable,Acceptable,95
direct_input:co2,calibration,mean_imputation,Acceptable,Degraded,0
direct_input:co2,calibration,mean_imputation,Acceptable,Critical,0
direct_input:co2,calibration,mean_imputation,Degraded,Favourable,4
direct_input:co2,calibration,mean_imputation,Degraded,Acceptable,2
direct_input:co2,calibration,mean_imputation,Degraded,Degraded,167
direct_input:co2,calibration,mean_imputation,Degraded,Critical,0
direct_input:co2,calibration,mean_imputation,Critical,Favourable,0
direct_input:co2,calibration,mean_imputation,Critical,Acceptable,0
