sample_id,computed_ts,stratum,reference_completeness_status,reference_index_class,reference_index_value,value,completeness_status,index_value,index_class
class_Acceptable_2026-07-25T10:55:00+03:00,2026-07-25 10:55:00+03:00,class_Acceptable,OK,Acceptable,37.5,0.8,OK,37.5,Acceptable
class_Acceptable_2026-07-28T00:00:00+03:00,2026-07-28 00:00:00+03:00,class_Acceptable,OK,Acceptable,37.5,0.8,OK,37.5,Acceptable
class_Critical_2026-07-17T00:50:00+03:00,2026-07-17 00:50:00+03:00,class_Critical,OK,Critical,76.5490946502053,0.8,OK,76.5490946502053,Critical
class_Critical_2026-07-17T23:45:00+03:00,2026-07-17 23:45:00+03:00,class_Critical,OK,Critical,87.53780426908764,0.8,OK,87.53780426908764,Critical
class_Critical_2026-07-18T13:40:00+03:00,2026-07-18 13:40:00+03:00,class_Critical,OK,Critical,87.55597014925372,0.8,OK,87.55597014925372,Critical
class_Critical_2026-07-19T17:25:00+03:00,2026-07-19 17:25:00+03:00,class_Critical,OK,Critical,87.55597014925372,0.8,OK,87.55597014925372,Critical
class_Critical_2026-07-26T20:50:00+03:00,2026-07-26 20:50:00+03:00,class_Critical,OK,Critical,77.81263374485583,0.8,OK,77.81263374485583,Critical
class_Degraded_2026-07-19T01:15:00+03:00,2026-07-19 01:15:00+03:00,class_Degraded,OK,Degraded,64.06259143503141,0.8,OK,64.06259143503141,Degraded
class_Degraded_2026-07-19T19:20:00+03:00,2026-07-19 19:20:00+03:00,class_Degraded,OK,Degraded,70.8536793738022,0.8,OK,70.8536793738022,Degraded
class_Degraded_2026-07-27T13:45:00+03:00,2026-07-27 13:45:00+03:00,class_Degraded,OK,Degraded,54.366690589249444,0.8,OK,54.366690589249444,Degraded
class_Degraded_2026-07-27T16:15:00+03:00,2026-07-27 16:15:00+03:00,class_Degraded,OK,Degraded,62.5,0.8,OK,62.5,Degraded
class_Degraded_2026-07-28T19:05:00+03:00,2026-07-28 19:05:00+03:00,class_Degraded,OK,Degraded,57.59122645237761,0.8,OK,57.59122645237761,Degraded
class_Favorable_2026-07-23T02:10:00+03:00,2026-07-23 02:10:00+03:00,class_Favorable,OK,Favorable,12.444029850746269,0.8,OK,12.444029850746269,Favorable
class_Favorable_2026-07-24T04:40:00+03:00,2026-07-24 04:40:00+03:00,class_Favorable,OK,Favorable,12.444029850746269,0.8,OK,12.444029850746269,Favorable
