computed_ts,window_minutes,component,available,crisp_score,membership_favorable,membership_acceptable,membership_degraded,membership_critical,room,season
2026-06-18 06:55:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 06:55:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:00:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:00:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 07:00:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:05:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:05:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 07:05:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:10:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:10:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 07:10:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:15:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:15:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 07:15:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:20:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:20:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 07:20:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:25:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:25:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 07:25:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 07:30:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 07:30:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
