sample_id,selection_reason,method,n_trials,n_class_changes,class_change_rate,mean_abs_index_change
random_2026-07-15T10:05:00+03:00,random_comparison,CRISP-MAX,30,9.0,0.3,6.486605229270812
random_2026-07-15T10:05:00+03:00,random_comparison,PROPOSED-HFIS,30,9.0,0.3,6.453757210688273
random_2026-07-15T10:05:00+03:00,random_comparison,WEIGHTED-MEAN,30,1.0,0.03333333333333333,3.082506144862366
random_2026-07-17T10:50:00+03:00,random_comparison,CRISP-MAX,30,13.0,0.43333333333333335,8.680104175868417
random_2026-07-17T10:50:00+03:00,random_comparison,PROPOSED-HFIS,30,13.0,0.43333333333333335,8.583360070902035
random_2026-07-17T10:50:00+03:00,random_comparison,WEIGHTED-MEAN,30,0.0,0.0,3.044340313375776
random_2026-07-18T11:45:00+03:00,random_comparison,CRISP-MAX,30,9.0,0.3,6.5895720731497045
random_2026-07-18T11:45:00+03:00,random_comparison,PROPOSED-HFIS,30,9.0,0.3,6.59617126160249
random_2026-07-18T11:45:00+03:00,random_comparison,WEIGHTED-MEAN,30,0.0,0.0,2.299429333324114
random_2026-07-19T08:50:00+03:00,random_comparison,CRISP-MAX,30,3.0,0.1,4.680239066246609
random_2026-07-19T08:50:00+03:00,random_comparison,PROPOSED-HFIS,30,3.0,0.1,4.680239066246611
random_2026-07-19T08:50:00+03:00,random_comparison,WEIGHTED-MEAN,30,0.0,0.0,1.9422588831617245
random_2026-07-20T03:50:00+03:00,random_comparison,CRISP-MAX,30,12.0,0.4,8.22620348522449
random_2026-07-20T03:50:00+03:00,random_comparison,PROPOSED-HFIS,30,12.0,0.4,8.22620348522449
random_2026-07-20T03:50:00+03:00,random_comparison,WEIGHTED-MEAN,30,12.0,0.4,2.742067828408163
random_2026-07-22T14:30:00+03:00,random_comparison,CRISP-MAX,30,15.0,0.5,11.172371588479962
random_2026-07-22T14:30:00+03:00,random_comparison,PROPOSED-HFIS,30,15.0,0.5,11.172371588479962
random_2026-07-22T14:30:00+03:00,random_comparison,WEIGHTED-MEAN,30,10.0,0.3333333333333333,3.7241238628266538
random_2026-07-23T16:45:00+03:00,random_comparison,CRISP-MAX,30,14.0,0.4666666666666667,12.758054457647338
random_2026-07-23T16:45:00+03:00,random_comparison,PROPOSED-HFIS,30,14.0,0.4666666666666667,12.758054457647338
random_2026-07-23T16:45:00+03:00,random_comparison,WEIGHTED-MEAN,30,3.0,0.1,4.252684819215778
random_2026-07-23T22:20:00+03:00,random_comparison,CRISP-MAX,30,0.0,0.0,0.049904277884401556
random_2026-07-23T22:20:00+03:00,random_comparison,PROPOSED-HFIS,30,0.0,0.0,0.049904277884401556
random_2026-07-23T22:20:00+03:00,random_comparison,WEIGHTED-MEAN,30,0.0,0.0,0.016634759294800478
random_2026-07-26T01:20:00+03:00,random_comparison,CRISP-MAX,30,17.0,0.5666666666666667,8.849407163452621
random_2026-07-26T01:20:00+03:00,random_comparison,PROPOSED-HFIS,30,17.0,0.5666666666666667,8.80693252373664
random_2026-07-26T01:20:00+03:00,random_comparison,WEIGHTED-MEAN,30,4.0,0.13333333333333333,4.218630212435412
random_2026-07-28T23:00:00+03:00,random_comparison,CRISP-MAX,30,0.0,0.0,2.6968305441362643
random_2026-07-28T23:00:00+03:00,random_comparison,PROPOSED-HFIS,30,0.0,0.0,2.7255424378856175
random_2026-07-28T23:00:00+03:00,random_comparison,WEIGHTED-MEAN,30,2.0,0.06666666666666667,1.1454269009405387
