pair,window,feature_set,method,n_train,fit_seconds,predict_seconds
temperature,20,b_single_plus_cross,random_forest,168639,43.44386148452759,0.7517828941345215
temperature,20,c_plus_ah,logistic_regression,168639,6.600116968154907,0.370039701461792
temperature,20,c_plus_ah,decision_tree,168639,5.524876356124878,0.02135181427001953
temperature,20,c_plus_ah,random_forest,168639,41.88334560394287,0.7397854328155518
temperature,20,d_cross_only,logistic_regression,168639,0.40706515312194824,0.09405231475830078
temperature,20,d_cross_only,decision_tree,168639,1.6670069694519043,0.013554096221923828
temperature,20,d_cross_only,random_forest,168639,25.40567898750305,1.093165636062622
humidity,5,a_single_only,logistic_regression,173394,0.600395917892456,0.04626750946044922
humidity,5,a_single_only,decision_tree,173394,2.7723515033721924,0.013190507888793945
humidity,5,a_single_only,random_forest,173394,36.378336906433105,0.8593311309814453
humidity,5,b_single_plus_cross,logistic_regression,173394,1.7133116722106934,0.27245473861694336
humidity,5,b_single_plus_cross,decision_tree,173394,4.7242958545684814,0.019512414932250977
humidity,5,b_single_plus_cross,random_forest,173394,49.03207993507385,0.8618433475494385
humidity,5,c_plus_ah,logistic_regression,173394,4.3089845180511475,0.3422558307647705
humidity,5,c_plus_ah,decision_tree,173394,6.834648370742798,0.020694732666015625
humidity,5,c_plus_ah,random_forest,173394,49.85137891769409,0.8862016201019287
humidity,5,d_cross_only,logistic_regression,173394,0.5741086006164551,0.09025239944458008
humidity,5,d_cross_only,decision_tree,173394,1.972790002822876,0.014265775680541992
humidity,5,d_cross_only,random_forest,173394,29.482640743255615,1.3030483722686768
humidity,10,a_single_only,logistic_regression,171374,0.4460735321044922,0.04902982711791992
humidity,10,a_single_only,decision_tree,171374,3.051422357559204,0.0134124755859375
humidity,10,a_single_only,random_forest,171374,37.04583168029785,0.7797222137451172
humidity,10,b_single_plus_cross,logistic_regression,171374,4.655418157577515,0.2514669895172119
humidity,10,b_single_plus_cross,decision_tree,171374,4.762422800064087,0.01887989044189453
humidity,10,b_single_plus_cross,random_forest,171374,48.72627520561218,0.7769365310668945
humidity,10,c_plus_ah,logistic_regression,171374,3.809526205062866,0.3187251091003418
humidity,10,c_plus_ah,decision_tree,171374,6.507980823516846,0.02105236053466797
humidity,10,c_plus_ah,random_forest,171374,49.4507098197937,0.831618070602417
humidity,10,d_cross_only,logistic_regression,171374,0.4721243381500244,0.08506107330322266
humidity,10,d_cross_only,decision_tree,171374,1.8805439472198486,0.014336347579956055
humidity,10,d_cross_only,random_forest,171374,26.95783567428589,1.0611305236816406
humidity,20,a_single_only,logistic_regression,168636,0.36353087425231934,0.02498912811279297
humidity,20,a_single_only,decision_tree,168636,3.1065475940704346,0.013504743576049805
humidity,20,a_single_only,random_forest,168636,39.34418511390686,0.7682859897613525
humidity,20,b_single_plus_cross,logistic_regression,168636,3.2934563159942627,0.25937747955322266
humidity,20,b_single_plus_cross,decision_tree,168636,4.477432489395142,0.018337488174438477
humidity,20,b_single_plus_cross,random_forest,168636,46.43787479400635,0.7710905075073242
humidity,20,c_plus_ah,logistic_regression,168636,4.690077543258667,0.33052730560302734
humidity,20,c_plus_ah,decision_tree,168636,6.2150444984436035,0.0218355655670166
humidity,20,c_plus_ah,random_forest,168636,45.78839135169983,0.7443459033966064
humidity,20,d_cross_only,logistic_regression,168636,0.3753793239593506,0.07615780830383301
humidity,20,d_cross_only,decision_tree,168636,1.8730978965759277,0.013099193572998047
humidity,20,d_cross_only,random_forest,168636,24.567605018615723,0.8921332359313965
