a,v,m,hfis_index_value,hfis_index_class,fuzzy_component_max_index_value,fuzzy_component_max_index_class,abs_diff,max_component
75.01467614938748,37.964387033546345,0.7450558892088011,74.99472729483158,Degraded,75.01467614938748,Critical,0.019948854555906337,75.01467614938748
53.06168192417476,73.8367175709967,75.00674057078497,74.89577748756567,Degraded,75.00674057078497,Critical,0.11096308321930337,75.00674057078497
75.01421019480996,12.650111932757579,5.786021498519068,74.98891724392669,Degraded,75.01421019480996,Critical,0.025292950883269327,75.01421019480996
17.39371783067153,21.427629969714623,24.995077336846304,25.12689024956502,Acceptable,24.995077336846304,Favourable,0.13181291271871487,24.995077336846304
9.080746783786541,50.88053603963123,75.01503035272296,74.99914390432332,Degraded,75.01503035272296,Critical,0.01588644839964104,75.01503035272296
58.100104175017606,68.1874884100777,75.01356133437321,74.98082651502395,Degraded,75.01356133437321,Critical,0.03273481934925826,75.01356133437321
32.52852926862544,75.00701731939476,67.02362887404225,74.89922830356431,Degraded,75.00701731939476,Critical,0.10778901583044842,75.00701731939476
75.01086386735095,33.90102354247772,24.891104249412454,74.94719143240073,Degraded,75.01086386735095,Critical,0.06367243495022024,75.01086386735095
75.00333211981311,29.05763003488252,33.13214285103147,74.85327704952148,Degraded,75.00333211981311,Critical,0.15005507029162857,75.00333211981311
71.32061637609472,75.01482867520114,4.849916712332725,74.9966291599155,Degraded,75.01482867520114,Critical,0.018199515285644452,75.01482867520114
50.538787283375,75.00135781055349,17.466808212647432,74.82865911924718,Degraded,75.00135781055349,Critical,0.17269869130630866,75.00135781055349
75.01337427974939,59.97155936980035,50.33970177032426,74.97849410551702,Degraded,75.01337427974939,Critical,0.03488017423237011,75.01337427974939
10.85013196045651,75.00398422215599,66.67961832807423,74.861408202192,Degraded,75.00398422215599,Critical,0.14257601996399671,75.00398422215599
38.42701087491389,75.00774623833028,68.80814181687924,74.90831729276034,Degraded,75.00774623833028,Critical,0.0994289455699402,75.00774623833028
24.144249921929408,29.862835534246436,75.00397359816144,74.86127573016113,Degraded,75.00397359816144,Critical,0.1426978680003117,75.00397359816144
49.71931637091106,59.496156555864964,75.00013308691295,74.81338787385288,Degraded,75.00013308691295,Critical,0.18674521306007819,75.00013308691295
48.03768715209068,45.30988517700685,75.01349954696566,74.98005607944837,Degraded,75.01349954696566,Critical,0.03344346751728722,75.01349954696566
10.048806090351226,24.989919080877034,3.974540509375124,25.062571255380295,Acceptable,24.989919080877034,Favourable,0.07265217450326134,24.989919080877034
75.00076496011123,56.107864946486316,61.03385172428732,74.82126678657208,Degraded,75.00076496011123,Critical,0.17949817353914455,75.00076496011123
75.00181902745055,70.3857543341832,33.28380736530387,74.83441009537108,Degraded,75.00181902745055,Critical,0.16740893207946783,75.00181902745055
21.72412092567987,75.01449672681477,18.45247607926863,74.99249005040639,Degraded,75.01449672681477,Critical,0.022006676408381054,75.01449672681477
