start_ts,end_ts,duration_samples,duration_minutes,triggering_channels,peak_score
2026-06-26 20:21:16.607991+00:00,2026-06-26 20:23:46.608393+00:00,6,3.0,"mass_pm10,mass_pm2_5",537.3720169708913
2026-06-26 20:24:46.608563+00:00,2026-06-26 20:26:46.608890+00:00,5,2.5,"mass_pm10,mass_pm2_5",58.760065336562306
2026-06-26 21:04:16.621168+00:00,2026-06-26 21:07:46.621724+00:00,8,4.0,pressure_hpa,3.541076487254681
2026-06-26 21:08:46.621898+00:00,2026-06-26 21:11:16.622317+00:00,6,3.0,pressure_hpa,3.912046404959958
2026-06-26 21:12:16.622487+00:00,2026-06-26 21:14:16.622803+00:00,5,2.5,pressure_hpa,3.7771482530735345
2026-06-26 21:17:46.623609+00:00,2026-06-26 21:23:16.624529+00:00,12,6.0,pressure_hpa,3.878321866983234
2026-06-27 03:02:16.681490+00:00,2026-06-27 03:04:16.681823+00:00,5,2.5,pressure_hpa,3.37245379736764
2026-06-27 03:07:46.682390+00:00,2026-06-27 03:12:16.683117+00:00,10,5.0,pressure_hpa,5.3959260757859235
2026-06-27 03:14:46.683539+00:00,2026-06-27 03:16:16.683763+00:00,4,2.0,pressure_hpa,3.37245379738681
2026-06-27 05:16:16.707402+00:00,2026-06-27 05:17:46.707660+00:00,4,2.0,co2_ppm,3.7096991771212737
2026-06-27 08:38:46.741057+00:00,2026-06-27 08:41:46.741543+00:00,7,3.5,co2_ppm,4.046944556859571
2026-06-27 10:23:46.759443+00:00,2026-06-27 10:30:46.760610+00:00,15,7.5,co2_ppm,5.058680696074464
2026-06-27 14:57:46.808659+00:00,2026-06-27 15:02:16.809388+00:00,10,5.0,co2_ppm,4.5608422783655485
2026-06-27 15:43:16.816105+00:00,2026-06-27 15:48:16.816931+00:00,11,5.5,co2_ppm,4.286566274042046
2026-06-27 15:49:16.817096+00:00,2026-06-27 16:01:16.819067+00:00,25,12.5,co2_ppm,30.43789325511636
2026-06-27 16:02:46.819317+00:00,2026-06-27 16:05:16.819722+00:00,6,3.0,"mass_pm10,mass_pm2_5",41.09715855241736
2026-06-27 16:08:46.820311+00:00,2026-06-27 16:12:46.820967+00:00,9,4.5,"mass_pm10,mass_pm2_5",244.48999670271905
2026-06-27 16:13:46.821131+00:00,2026-06-27 16:15:16.821537+00:00,4,2.0,"mass_pm10,mass_pm2_5",132.6183150542365
2026-06-27 16:25:46.823301+00:00,2026-06-27 16:27:16.823561+00:00,4,2.0,"mass_pm10,mass_pm2_5",79.66792633760477
2026-06-27 16:55:16.830054+00:00,2026-06-27 16:57:46.830473+00:00,6,3.0,"mass_pm10,mass_pm2_5",62.039795696075245
2026-06-27 16:58:46.830607+00:00,2026-06-27 17:08:16.832210+00:00,20,10.0,"mass_pm10,mass_pm2_5",47.218840466899216
2026-06-27 17:21:16.834356+00:00,2026-06-27 17:23:16.834694+00:00,5,2.5,"mass_pm10,mass_pm2_5",57.57285268713739
2026-06-27 17:24:16.834883+00:00,2026-06-27 17:25:46.835113+00:00,4,2.0,"mass_pm10,mass_pm2_5",80.72189276398697
2026-06-27 19:29:16.859206+00:00,2026-06-27 19:31:46.859626+00:00,6,3.0,"mass_pm10,mass_pm2_5",29.278916586172702
2026-06-27 19:37:16.860530+00:00,2026-06-27 19:38:46.860762+00:00,4,2.0,"mass_pm10,mass_pm2_5",29.728530032382757
2026-06-27 19:41:46.861274+00:00,2026-06-27 19:43:16.861516+00:00,4,2.0,mass_pm2_5,74.03438500004985
2026-06-27 19:59:16.864173+00:00,2026-06-27 20:03:16.865815+00:00,9,4.5,"mass_pm10,mass_pm2_5",111.22749120348479
2026-06-27 20:04:16.865988+00:00,2026-06-27 20:10:16.866972+00:00,13,6.5,"mass_pm10,mass_pm2_5",36.01240486000266
2026-06-27 22:05:46.886127+00:00,2026-06-27 22:09:46.889137+00:00,9,4.5,pressure_hpa,4.271774810023548
2026-06-28 02:15:16.934351+00:00,2026-06-28 02:38:46.938224+00:00,48,24.0,co2_ppm,6.55219594920121
2026-06-28 04:53:16.961331+00:00,2026-06-28 04:56:16.961809+00:00,7,3.5,pressure_hpa,4.384189936576782
2026-06-28 05:00:46.962580+00:00,2026-06-28 05:02:16.962807+00:00,4,2.0,pressure_hpa,3.0352084176274254
2026-06-28 06:46:46.980183+00:00,2026-06-28 06:53:16.981277+00:00,14,7.0,pressure_hpa,4.721435316340001
2026-06-28 10:40:47.024123+00:00,2026-06-28 10:44:17.024691+00:00,8,4.0,co2_ppm,4.271774810018436
2026-06-28 15:11:47.074431+00:00,2026-06-28 15:29:17.077363+00:00,36,18.0,co2_ppm,8.318719366878007
2026-06-28 18:12:47.108388+00:00,2026-06-28 18:14:17.108670+00:00,4,2.0,pressure_hpa,3.37245379738681
2026-06-29 02:11:17.195921+00:00,2026-06-29 02:13:47.196349+00:00,6,3.0,co2_ppm,4.384189936597869
2026-06-29 03:47:17.215059+00:00,2026-06-29 03:48:47.215315+00:00,4,2.0,pressure_hpa,3.37245379738681
2026-06-29 07:33:47.262124+00:00,2026-06-29 07:36:47.262628+00:00,7,3.5,co2_ppm,3.428661360672692
2026-06-29 12:59:17.329955+00:00,2026-06-29 13:44:47.337501+00:00,92,46.0,"co2_ppm,mass_pm10,mass_pm2_5",77.10744145397511
2026-06-29 14:18:47.346288+00:00,2026-06-29 14:25:17.348797+00:00,14,7.0,pressure_hpa,4.046944556855737
2026-06-29 14:26:17.348962+00:00,2026-06-29 14:36:47.350688+00:00,22,11.0,pressure_hpa,5.86806960743917
2026-06-29 16:09:47.366119+00:00,2026-06-29 16:16:47.367307+00:00,15,7.5,co2_ppm,6.600373860592396
2026-06-29 21:31:20.948235+00:00,2026-06-29 21:35:50.948989+00:00,10,5.0,co2_ppm,3.9243098733183723
2026-06-30 04:27:21.049291+00:00,2026-06-30 04:30:21.049798+00:00,7,3.5,pressure_hpa,4.721435316340001
2026-06-30 04:44:51.052232+00:00,2026-06-30 05:07:51.056016+00:00,47,23.5,co2_ppm,9.021313907999462
2026-06-30 07:23:21.084896+00:00,2026-06-30 07:41:51.087958+00:00,38,19.0,"co2_ppm,mass_pm10,mass_pm2_5",45.7741348075443
2026-06-30 17:19:21.213195+00:00,2026-06-30 17:28:21.214659+00:00,19,9.5,"mass_pm10,mass_pm2_5",19.78596172943746
2026-07-01 13:44:53.353872+00:00,2026-07-01 13:46:23.354111+00:00,4,2.0,co2_ppm,4.046944556859572
2026-07-01 15:33:23.372234+00:00,2026-07-01 15:38:23.373068+00:00,11,5.5,"co2_ppm,pressure_hpa",13.557264265479564
2026-07-01 15:45:53.374274+00:00,2026-07-01 15:58:24.996043+00:00,19,9.5,co2_ppm,19.56023202482126
2026-07-01 16:14:38.583366+00:00,2026-07-01 16:23:13.895990+00:00,15,7.5,co2_ppm,5.6657223796034
2026-07-01 17:04:13.906206+00:00,2026-07-01 17:05:43.906441+00:00,4,2.0,pressure_hpa,4.046944556840401
2026-07-01 23:45:13.972146+00:00,2026-07-01 23:49:13.972804+00:00,9,4.5,pressure_hpa,6.070416835289357
2026-07-02 06:37:44.039836+00:00,2026-07-02 06:42:44.040669+00:00,11,5.5,"mass_pm10,mass_pm2_5",6.696815285691914
2026-07-02 10:45:44.080578+00:00,2026-07-02 10:57:14.082468+00:00,24,12.0,"mass_pm10,mass_pm2_5",11.39948539947877
2026-07-02 12:29:44.097805+00:00,2026-07-02 12:36:44.098951+00:00,15,7.5,pressure_hpa,3.7096991771180785
2026-07-02 15:15:44.128851+00:00,2026-07-02 15:34:44.132039+00:00,39,19.5,co2_ppm,6.610009442870633
2026-07-02 15:40:44.133018+00:00,2026-07-02 15:42:14.133277+00:00,4,2.0,co2_ppm,3.3724537973829762
2026-07-02 18:05:44.156869+00:00,2026-07-02 18:13:14.158125+00:00,16,8.0,co2_ppm,11.803588290840416
2026-07-02 18:57:44.165560+00:00,2026-07-02 18:59:44.165881+00:00,5,2.5,co2_ppm,3.216802083657608
2026-07-02 19:02:44.166373+00:00,2026-07-02 19:05:44.166852+00:00,7,3.5,co2_ppm,3.4848689239624084
2026-07-02 22:33:14.201369+00:00,2026-07-02 22:35:44.201790+00:00,6,3.0,pressure_hpa,4.432367847986237
2026-07-02 22:36:44.201957+00:00,2026-07-02 22:43:44.203116+00:00,15,7.5,pressure_hpa,4.817791139115094
2026-07-02 22:44:44.203274+00:00,2026-07-02 22:46:44.203606+00:00,5,2.5,pressure_hpa,3.7096991771251075
2026-07-03 08:44:14.302377+00:00,2026-07-03 08:47:44.302949+00:00,8,4.0,"mass_pm10,mass_pm2_5",5.4464609065441
2026-07-03 13:00:14.344442+00:00,2026-07-03 13:03:44.345026+00:00,8,4.0,co2_ppm,3.7096991771212737
2026-07-03 13:58:14.354004+00:00,2026-07-03 14:14:14.356599+00:00,33,16.5,pressure_hpa,5.126129772016602
2026-07-03 14:34:44.359994+00:00,2026-07-03 14:43:44.361487+00:00,19,9.5,co2_ppm,19.89747740455956
2026-07-03 17:35:44.389743+00:00,2026-07-03 17:38:14.390156+00:00,6,3.0,co2_ppm,4.4591333543174905
2026-07-03 17:39:44.390410+00:00,2026-07-03 17:41:14.390650+00:00,4,2.0,co2_ppm,5.475277929868831
2026-07-05 01:37:10.224742+00:00,2026-07-05 01:38:40.224993+00:00,4,2.0,co2_ppm,3.7096991771212737
2026-07-05 19:16:10.398273+00:00,2026-07-05 19:19:10.398761+00:00,7,3.5,co2_ppm,7.124308646971537
2026-07-05 23:19:10.437755+00:00,2026-07-05 23:23:40.438492+00:00,10,5.0,co2_ppm,34.17419848014749
2026-07-05 23:31:40.439803+00:00,2026-07-05 23:35:40.440449+00:00,9,4.5,co2_ppm,5.395926075812762
2026-07-05 23:37:10.440685+00:00,2026-07-05 23:41:40.441416+00:00,10,5.0,co2_ppm,3.8783218669904223
2026-07-05 23:47:10.442295+00:00,2026-07-05 23:49:40.442701+00:00,6,3.0,co2_ppm,3.7096991771212737
2026-07-05 23:51:10.442936+00:00,2026-07-05 23:53:10.443262+00:00,5,2.5,co2_ppm,3.8783218669904223
2026-07-06 01:21:10.457588+00:00,2026-07-06 01:30:40.459136+00:00,20,10.0,co2_ppm,16.86226898691488
2026-07-06 01:56:10.463276+00:00,2026-07-06 02:08:10.465241+00:00,25,12.5,co2_ppm,37.26561446108189
2026-07-06 04:02:40.483965+00:00,2026-07-06 04:06:40.484625+00:00,9,4.5,co2_ppm,50.361976707585775
2026-07-06 07:23:40.525017+00:00,2026-07-06 07:25:10.525284+00:00,4,2.0,co2_ppm,3.2038311075138273
